issuer_name,source_file,source_effective_date,plan_year_demo,plan_group,therapeutic_category,therapeutic_subcategory,drug_name_display,tier,requirements_limits,prior_auth,step_therapy,quantity_limit,age_limit,specialty_flag,non_formulary,medical_benefit,notes
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,LYUMJEV KWIKPEN,T2,QL (0.5 ML per 1 day),False,False,QL (0.5 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,LYUMJEV TEMPO PEN,T2,QL (0.5 ML per 1 day),False,False,QL (0.5 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN 70/30,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin 70/30); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN 70/30 FLEXPEN,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin 70/30); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN 70/30 FLEXPEN RELION,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin 70/30); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN 70/30 RELION,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin 70/30); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN N,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin N); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN N FLEXPEN,T2,ST (Step Therapy required: 1 fill in the last 12 months - Humulin N); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN N RELION,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin N); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN R,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin R); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN R FLEXPEN,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin R); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN R FLEXPEN RELION,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin R); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLIN R RELION,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humulin R); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLOG MIX 70/30,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog Mix 75/25); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,NOVOLOG MIX 70/30 FLEXPEN SUBCUTANEOUS SUSPENSION PEN-INJECTOR,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog Mix 75/25); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,SEMGLEE SUBCUTANEOUS SOLUTION PEN- INJECTOR,T3,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,TOUJEO MAX SOLOSTAR,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,TOUJEO SOLOSTAR,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Incretin Mimetic Agents (Gip & Glp-1 Receptor Agonists),MOUNJARO,T3,PA,True,False,,,False,False,False,
